sessionId,questionId,rawValue,scoredValue,position
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,b2874be3-7b30-4d92-bfad-af7264d174cb,2,2,1
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,96d3be66-c884-4213-8cb0-2e53eab9cb5c,4,4,2
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,d8fff866-2f71-4ac6-8757-5b33e976704c,4,4,3
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,a2774a1d-728a-4d66-80c3-d9af11527109,5,1,4
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,d307fcec-39ca-4d4d-94b0-e38c68b9c4ae,5,1,5
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,1a4e26fb-097c-4d4b-b272-b16d528a16c0,1,1,6
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,34440dbb-f3d1-4d69-91e9-edd26ec1b3de,5,5,7
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,d9becdb2-90ad-47ef-b721-f33a8422ad9b,4,2,8
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,75b3d0dc-1943-46b3-8914-f4f5fd40bda4,5,1,9
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,5a3c5d44-c3af-4ddf-b50a-e9b5be7246e8,2,4,10
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,c7875686-e5b6-4714-bb7f-b1130d497b1f,1,1,11
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,2298bcfc-9ec6-44ce-914f-285df55c3fdd,5,5,12
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,7e94195b-14e1-417f-aefc-bc807820b9d3,1,5,13
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,f8336477-6b09-4f69-b190-80976061b5cc,2,4,14
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,5474c79f-18d8-4098-a3a7-43f0cfc48ef8,5,5,15
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,73b94ced-850b-471b-b87b-6f37cc51f514,5,5,16
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,691e824b-698d-409e-a183-a1e92ec03d23,5,5,17
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,7d46ca32-7e9c-4665-8983-d1dbc38b7208,5,1,18
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,20db4087-40e2-4eaa-a155-947593ecc984,4,4,19
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,37b78919-374a-4299-bac9-8bccb35d3149,5,5,20
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,a4b2fb16-ce98-4559-a7f1-f3f343776201,4,4,21
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,9d89cdd4-d816-4449-8654-6729a0697901,5,1,22
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,2158aca2-34cd-4906-885e-19d3867e8328,5,1,23
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,225b7c38-34ee-4879-a4b4-28e07ca25cbc,1,1,24
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,f1927c69-80fc-4e48-a972-30de423dcf11,5,5,25
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,540d11c6-2dc7-4bb1-b3cf-67a648ad4d5c,2,4,26
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,1bcba191-7b07-4657-b2f0-e320e03c8ea5,2,4,27
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,012e40bd-c8f5-4499-b79f-fd0183758e88,5,1,28
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,ec99db7d-fa2f-45ad-9b46-6c0446072918,1,5,29
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,fbbe10c1-8c33-4fb6-9240-46098168d815,4,2,30
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,2c4419e9-ac35-4e5a-beb2-d82147902608,5,5,31
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,12cdeff3-5a55-48b7-b7e3-74efa595f613,2,4,32
3c06bd4f-90b6-4aeb-b43d-bcfd8eae8abf,1cc3f16f-dc55-4514-a9e4-42cc450053ff,5,5,33
56727cb9-0033-4f8f-ab82-c9fb024186e2,1bcba191-7b07-4657-b2f0-e320e03c8ea5,5,1,1
56727cb9-0033-4f8f-ab82-c9fb024186e2,f1927c69-80fc-4e48-a972-30de423dcf11,4,4,2
56727cb9-0033-4f8f-ab82-c9fb024186e2,12cdeff3-5a55-48b7-b7e3-74efa595f613,5,1,3
56727cb9-0033-4f8f-ab82-c9fb024186e2,691e824b-698d-409e-a183-a1e92ec03d23,4,4,4
56727cb9-0033-4f8f-ab82-c9fb024186e2,b2874be3-7b30-4d92-bfad-af7264d174cb,5,5,5
56727cb9-0033-4f8f-ab82-c9fb024186e2,d9becdb2-90ad-47ef-b721-f33a8422ad9b,5,1,6
56727cb9-0033-4f8f-ab82-c9fb024186e2,c7875686-e5b6-4714-bb7f-b1130d497b1f,5,5,7
56727cb9-0033-4f8f-ab82-c9fb024186e2,f8336477-6b09-4f69-b190-80976061b5cc,4,2,8
56727cb9-0033-4f8f-ab82-c9fb024186e2,9d89cdd4-d816-4449-8654-6729a0697901,1,5,9
56727cb9-0033-4f8f-ab82-c9fb024186e2,73b94ced-850b-471b-b87b-6f37cc51f514,2,2,10
56727cb9-0033-4f8f-ab82-c9fb024186e2,37b78919-374a-4299-bac9-8bccb35d3149,1,1,11
56727cb9-0033-4f8f-ab82-c9fb024186e2,1cc3f16f-dc55-4514-a9e4-42cc450053ff,5,5,12
56727cb9-0033-4f8f-ab82-c9fb024186e2,96d3be66-c884-4213-8cb0-2e53eab9cb5c,5,5,13
56727cb9-0033-4f8f-ab82-c9fb024186e2,5474c79f-18d8-4098-a3a7-43f0cfc48ef8,5,5,14
56727cb9-0033-4f8f-ab82-c9fb024186e2,7d46ca32-7e9c-4665-8983-d1dbc38b7208,4,2,15
56727cb9-0033-4f8f-ab82-c9fb024186e2,7e94195b-14e1-417f-aefc-bc807820b9d3,5,1,16
56727cb9-0033-4f8f-ab82-c9fb024186e2,ec99db7d-fa2f-45ad-9b46-6c0446072918,5,1,17
56727cb9-0033-4f8f-ab82-c9fb024186e2,20db4087-40e2-4eaa-a155-947593ecc984,5,5,18
56727cb9-0033-4f8f-ab82-c9fb024186e2,d307fcec-39ca-4d4d-94b0-e38c68b9c4ae,4,2,19
56727cb9-0033-4f8f-ab82-c9fb024186e2,d8fff866-2f71-4ac6-8757-5b33e976704c,1,1,20
